language,year,LOC,dev cost,maint cost
All,55,133075,2661500,10926057
All,57,77827,505190,2272159
All,58,91649,1832980,7331920
All,59,80335,76000,1204000
All,60,220147,3845000,2113393
All,61,1260150,1950000,3366107
All,62,127161,29705226,24754306
All,63,3684488,135710067,69911116
All,64,311156,478356,2943616
All,65,931394,11576052,26358455
All,66,797538,9595315,41633253
All,67,424596,5753866,16794565
All,68,418463,8037012,19804720
All,69,1676859,26620008,40212804
All,70,1203452,17483815,25268538
All,71,1692047,27427601,13229110
All,72,502056201,132804183,32880607
All,73,12444434,61940602,98216492
All,74,5074733,22018883,51079980
All,75,51902579,13811188,35067770
All,76,9592159,53633653,97937392
All,77,11382547,216680497,106956250
All,78,1644848,17197293,25193840
All,79,3245429,87437011,478255578
All,80,4643429,28992290,33879384
All,81,9456575,84115921,4342842
All,82,4862947,46746699,33307362
All,83,2807101,12141764,4058407
All,84,4525394,39062867,13779709
All,85,15350979,63037789,83642709
All,86,176595,1605720,9726
Fortran,62,56100,28372000,20062480
Fortran,63,542255,27379417,5374667
Fortran,65,474000,6480000,9630484
Fortran,66,93500,1812801,6579523
Fortran,67,50000,1456000,7701774
Fortran,68,81528,1568840,4212581
Fortran,69,50500,1780000,6151000
Fortran,70,772049,12187996,7718963
Fortran,71,3500,70000,280000
Fortran,72,500319396,103111731,1089751
Fortran,73,48900,1181000,3714800
Fortran,74,17736,104760,358420
Fortran,75,805177,840377,3313814
Fortran,76,340100,14620000,29174285
Fortran,77,121000,3045000,4665000
Fortran,78,383380,9263420,8665000
Fortran,79,49336,1016880,2438040
Fortran,80,738279,6667393,2139752
Fortran,81,1276309,10012205,2320008
Fortran,82,818565,4042964,750899
Fortran,83,279112,99090,101324
Fortran,84,50400,1038327,749400
Cobol,55,133075,2661500,10926057
Cobol,57,77877,505190,2272159
Cobol,58,91649,1832980,7331920
Cobol,59,80333,76000,1204000
Cobol,60,220147,3845000,2113392
Cobol,61,1260150,1950000,3366107
Cobol,62,71061,1333220,4691826
Cobol,63,3142233,108330650,64536449
Cobol,64,291095,67336,2846872
Cobol,65,379739,3542952,11758131
Cobol,66,704030,7782514,35053730
Cobol,67,374596,4288066,9076791
Cobol,68,336935,6468572,15592139
Cobol,69,1250691,24090008,32340554
Cobol,70,431403,5295819,17549575
Cobol,71,399658,5278403,10730689
Cobol,72,1562305,13882154,19747106
Cobol,73,12275178,59338482,84530862
Cobol,74,786107,17686279,34530753
Cobol,75,772275,7573055,26585282
Cobol,76,1805994,36017753,46820781
Cobol,77,1203547,13592497,35121453
Cobol,78,798588,4573874,12253078
Cobol,79,2212769,34562228,397183878
Cobol,80,3667683,19825518,30867028
Cobol,81,1517606,15431931,19872390
Cobol,82,3481937,20217498,31103778
Cobol,83,1699214,10681418,3398133
Cobol,84,2774154,23971138,3212109
Cobol,85,2003437,24576355,55953414
Cobol,86,176595,1605720,9726
Cobol,87,450000,33500000,NA
Other,64,20061,411020,96244
Other,67,370000,750000,1700000
Other,72,174600,15810298,12043750
Other,73,120396,1421120,9970830
Other,74,30815,221040,935190
Other,75,50100000,2125900,1000000
Other,76,421065,2995900,21942126
Other,77,10057500,200040000,67167300
Other,78,406700,3332499,4383659
Other,79,981700,51822163,78490700
Other,80,237467,501379,872604
Other,81,6339746,55114405,6203416
Other,82,557435,22485537,1452184
Other,83,798775,1241914,519880
Other,84,1692351,13883622,9818200
Other,85,26016,2536134,NA
Assembler,65,77655,1553100,4969920
Assembler,71,1288889,22079198,2218421
Assembler,74,4240075,4006804,15285617
Assembler,75,205127,3171856,4168174
Assembler,76,7025000,NA,NA
Assembler,77,500,3000,2500
Assembler,78,56080,27800,21267
Assembler,79,1787,35740,142960
Assembler,81,322914,3558280,360366
Assembler,82,5010,700,500
Assembler,83,30000,119342,39070
Assembler,84,8489,169780,NA
Assembler,85,60000,1200000,480000
