alg,size,gp1,gp2,gp3,fp1,fp2,fp3,ap1,ap2,ap3
loadseq,NA,group,group,group,freq,freq,freq,alpha,alpha,alpha
Pages,NA,24,20,16,24,20,16,24,20,16
LRUV,S,32,48,538,52,244,998,59,536,1348
LRUV,M,53,81,1901,112,776,3621,121,1879,4639
LRUV,L,142,197,5689,262,2625,10012,980,5698,12880
FIFO,S,49,67,789,79,390,1373,85,814,1693
FIFO,M,100,134,3152,164,1255,4912,206,3394,5838
FIFO,L,233,350,9100,458,3688,13531,1633,10022,17117
RAND,S,62,100,1103,111,480,1782,111,839,2190
RAND,M,96,245,3807,237,1502,6007,286,3092,7654
RAND,L,265,2012,12429,517,4870,18602,1728,8834,23134
