name,feature_freeze_date,production_deployment_date
13.1,2013-01-10,2013-02-13
13.2,2013-02-27,2013-04-10
13.3,2013-05-08,2013-06-12
13.4,2013-06-19,2013-08-28
13.5,2013-09-11,2013-10-23
13.6,2013-11-06,2013-12-04
14.1,2014-01-15,2014-02-19
14.2,2014-03-05,2014-04-16
14.3,2014-04-30,2014-06-11
14.4,2014-07-16,2014-09-08
14.5,2014-09-24,2014-11-10
15.1,2015-01-15,2015-02-16
15.2,2015-03-16,2015-04-13
15.3,2015-05-11,2015-06-08
15.4,2015-09-04,2015-09-21
15.5,2015-11-16,2015-12-07
16.1,2016-02-01,2016-02-20
16.2,2016-03-29,2016-04-17
16.3,2016-05-23,2016-06-12
